psraid,sample,state,cregion,usr,intuse,pialql1,smart3,pial1a,pial1b,pial1c,pial1d,pial1e,pial1f,pial1g,pial1h,pial1i,pial1j,pial1k,pial2,pial3a,pial3b,pial3c,pial3d,pial3e,pial3f,pial3g,pial3h,pial3i,pial4,pial5,pial6a,pial6b,pial6c,pial7a,pial7b,pial7c,pial7d,pial7e,pial7f,pial7g,pial7h,pial7i,pial7j,pial7k,pial8a,pial8b,pial8c,pial8d,pial8e,pial8f,pial8g,pial8h,pial8i,pial8j,pial8k,act87,act112,pial9a,pial9b,pial9c,pial9d,pial9e,pial9f,pial9g,pial9h,pial9i,pial9j,pial10,pial11a,pial11b,pial11c,pial11d,pial11e,pial11f,pial11g,pial11h,pial12,pial13,ql1,ql1a,qc1,hh1,employ,par,sex,age,marital,educ2,hisp,race,inc,income,reg,party,partyln,ideo,tp,weight,standwt
100004,1,25,1,S,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,3,2,2,2,2,2,2,2,2,2,8,1, , ,1,3,2,1,62,6,8,2,1,99,1,1,1, ,2,1,1,.298978638841562
100007,1,45,3,S,1,2, ,1,8,2,2,2,2,2,8,2,2,2,2,3,3,3,3,3,3,3,3,3,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2, , , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,1,2,1, ,4,1,2,1,45,4,2,2,1,1,1,3,3,9,5,3,8,2.3918291107325
100011,1,34,1,S,2,1,1,3,3,3,3,3,3,3,3,3,3,3,2,5,5,5,5,5,5,5,5,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2, , , , , , , , , , ,4,2,2,2,2,2,2,2,2,8,1,1, , ,1,1,2,2,70,6,7,2,1,6,3,1,3,1,2,3,1,.298978638841562
100025,1,13,3,U,1,1,2,8,8,8,8,2,8,1,1,2,8,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1, , ,2,3,2,1,70,1,6,2,1,9,4,1,3,1,2,1,1.93103448275862,.577338061211293
100030,1,13,3,S,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,8,2,1, , ,2,3,2,2,80,5,3,2,1,99,9,3,4,9,2,3,3.13793103448276,.938174349468351
100031,1,47,3,U,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1, , ,2,3,1,1,49,1,6,2,1,8,4,1,1, ,2,1,2.6551724137931,.793839834165527
100033,1,26,2,S,1,1,2,1,2,2,2,1,8,2,2,2,1,8,1,3,2,2,3,3,3,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1,1, , ,1,1,2,2,52,4,3,2,1,4,2,3,3,2,3,3,2.20689655172414,.65981492709862
100041,1,36,1,S,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,8,8,1, , ,1,3,2,2,76,2,7,2,1,6,3,1,2, ,3,2,1.10344827586207,.32990746354931
100043,1,37,3,S,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,1,1, , ,1,3,2,1,75,5,3,2,2,5,2,1,2, ,2,2,1.48275862068966,.443313154144385
100046,1,37,3,U,1,1,2,8,2,2,2,3,8,2,2,2,2,2,2,1,2,2,3,3,2,1,1,5,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,8,1, , ,1,3,2,2,76,5,7,9,9,4,2,1,4,9,2,3,1,.298978638841562
100048,1,39,2,R,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2,8,2,2, ,1,3,2,1,69,6,3,2,1,4,2,1,1, ,2,1,1.82758620689655,.546409236503545
100055,1,51,3,R,1,1,1,8,8,9,8,8,8,8,1,2,2,2,2,3,3,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,8,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,8,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1, , ,3,1,2,2,50,1,6,2,1,7,4,1,3,1,3,8,2.72413793103448,.814459050637359
100066,1,36,1,U,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,2,1, , ,2,3,2,1,72,1,6,2,9,2,1,3,5,9,1,3,2.13793103448276,.639195710626788
